strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
MW342708	2020-04-30		B.1.1.231	MW342708		20B	Older	-0.01	202018	South America		Homo sapiens	Ecuador	Ecuador		Sevillano et al B		Zurita & Zurita Laboratorios	Zurita & Zurita Laboratorios	
HG994233	2020-09-17		B.1.1.170	HG994233		20B	Older	-0.01	202038	Europe		Homo sapiens	Poland	Poland		? E		WSSE	COVID-HUB-PL	
ISR/hCov-19-Israel-CVL-n896/2020	2020-02-27		B.1.1	MW672632	1.00	20B	Older	0.02	202009	Asia		Homo sapiens	Israel	Israel		Zuckerman et al C				
PER/covper064/2020	2020-03-16		B.1.1	MW030204	1.00	20B	Older	0.02	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al U				
MAR/15N/2020	2020-05-15		B.1.1	MT568645	1.00	20B	Older	0.02	202020	Africa		Homo sapiens	Morocco	Casablanca		Jouali et al				
CHN/MY-001/2020	2020-03-10		B.1.1	MW301121	1.00	20B	Older	0.02	202011	Asia		Homo sapiens	China	Sichuan		He et al A				
Switzerland/BS-UHB-42208163/2020	2020-03-26		B.1.1	OU280287	1.00	20B	Older	0.02	202013	Europe		Homo sapiens	Switzerland	Basel-Stadt		? AC		Clinical Virology, University Hospital Basel, Switzerland	University Hospital Basel	
ISR/NH_M1_0614/2020	2020-06-14		B.1.1.50	MW228070	1.00	20B	Older	0.02	202025	Asia		Homo sapiens	Israel	Israel		Zaide et al B				
SYC/G28007/2021	2021-01-03		B.1.1.50	OK377346	3.00	20B	Older	0.03	202101	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al BK				
WestBank/AAS52/2021	2021-02-05		B.1.1.50	MW858239	4.00	20B	Older	0.11	202105	Asia		Homo sapiens	Palestine	West Bank		Nasereddin et al A				
WestBank/AAS45/2021	2021-01-04		B.1.1.50	MW513685	2.00	20B	Older	0.07	202101	Asia		Homo sapiens	Palestine	Ramallah and al-Bireh Governorate		Dumaidi et al A				
WestBank/AAS22/2020	2020-11-30		B.1.1.50	MW737837	1.00	20B	Older	0.08	202049	Asia		Homo sapiens	Palestine	Nablus		Ereqat et al				
Japan/Donner46/2020	2020-06-22		B.1.1.284	BS000725	2.00	20B	Older	0.02	202026	Asia		Homo sapiens	Japan	Kanto		Kosaki et al A				
Japan/Donner121/2020	2020-10-07		B.1.1.284	BS000797	1.00	20B	Older	-0.02	202041	Asia		Homo sapiens	Japan	Kanto		Kosaki et al B				
Japan/Donner200/2020	2020-07-05		B.1.1.284	BS000872	1.00	20B	Older	-0.01	202028	Asia		Homo sapiens	Japan	Kanto		Kosaki et al C				
USA/IL-QDX-3301/2020	2020-07-15		B.1.1	MW522411	1.00	20B	Older	0.02	202029	North America		Homo sapiens	USA	Illinois		Rosenthal et al AG				
Japan/Donner445/2020	2020-05-23		B.1.1	BS001106	1.00	20B	Older	0.02	202021	Asia		Homo sapiens	Japan	Hokkaido		Kosaki et al D				
Japan/Donner208/2020	2020-09-18		B.1.1.214	BS000880	2.00	20B	Older	0.08	202038	Asia		Homo sapiens	Japan	Kanto		Kosaki et al E				
JPN/HiroFH111c/2021	2021-02-09		B.1.1.214	OM368683	1.00	20B	Older	0.08	202106	Asia		Homo sapiens	Japan	Japan		Kurose et al B				
Japan/Donner374/2020	2020-12-15		B.1.1.214	BS001045	1.00	20B	Older	0.08	202051	Asia		Homo sapiens	Japan	Kanto		Kosaki et al F				
LC655355	2021-01-21		B.1.1.214	LC655355	2.00	20B	Older	0.10	202103	Asia		Homo sapiens	Japan	Kanagawa		Haga et al				
Japan/Donner437/2021	2021-03-15		B.1.1.214	BS001099	3.00	20B	Older	0.15	202111	Asia		Homo sapiens	Japan	Kanto		Kosaki et al G				
BHR/090000572_S16_L001/2020	2020-05-31		B.1.1.306	MW228280	1.00	20B	Older	0.02	202023	Asia		Homo sapiens	Bahrain	Bahrain		AlWasti et al B				
BHR/340249126/2020	2020-06-28		B.1.1.306	MW655537	1.00	20B	Older	0.02	202027	Asia		Homo sapiens	Bahrain	Bahrain		Alwasti et al I				
DJI/NAMRU3_68/2021	2021-01-18		B.1.1.306	OK018229	2.00	20B	Older	0.03	202103	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al AH				
DJI/NAMRU3_PC45/2021	2021-01-28		B.1.1.306	MZ520117	2.00	20B	Older	0.03	202104	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al AI				
BHR/340615704/2020	2020-09-04		AE.7	MW655538	1.00	20B	Older	0.02	202036	Asia		Homo sapiens	Bahrain	Bahrain		Alwasti et al J				
BHR/340513774_S1_L001/2020	2020-08-17		B.1.1.306	MW228051	1.00	20B	Older	0.06	202034	Asia		Homo sapiens	Bahrain	Bahrain		AlWasti et al C				
IND/GBRC432/2020	2020-09-03		B.1.1.306	MW242999	1.00	20B	Older	0.03	202036	Asia		Homo sapiens	India	Gujarat		Pandya et al		GCRI,Ahmedabad	Gujarat Biotechnology Research Centre	
Netherlands/Helmond_1363548/2020	2020-02-29		B.1.1.33	LR878363	1.00	20B	Older	0.02	202009	Europe		Homo sapiens	Netherlands	North Brabant		Fouchier et al C			ERASMUS MC, UNIVERISTY MEDICAL CENTER	
BRA/HIAE-SP03/2020	2020-03-13		B.1.1.33	MT738101	1.00	20B	Older	0.08	202011	South America		Homo sapiens	Brazil	Brazil		Amgarteb et al				
BRA/Rio-NS1/2020	2020-06-09		B.1.1.33	MT939524	1.00	20B	Older	0.02	202024	South America		Homo sapiens	Brazil	Rio de Janeiro		Bonaldo et al A				
URY/1045_del4/2020	2020-10-08		B.1.1.33	MZ312089	1.00	20B	Older	0.04	202041	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al B				
URY/935_del4/2020	2020-09-30		B.1.1.33	MZ312095	1.00	20B	Older	0.04	202040	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al C				
URY/1086_del4/2020	2020-10-14		B.1.1.33	MZ312090	1.00	20B	Older	0.04	202042	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al D				
URY/926_del4/2020	2020-09-28		B.1.1.33	MZ312092	1.00	20B	Older	0.04	202040	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al E				
URY/1633_del4/2020	2020-11-10		B.1.1.33	MZ312088	2.00	20B	Older	0.05	202046	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al F				
URY/934_del4/2020	2020-09-30		B.1.1.33	MZ312094	1.00	20B	Older	0.04	202040	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al G				
URY/931_del4/2020	2020-09-30		B.1.1.33	MZ312093	1.00	20B	Older	0.04	202040	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al H				
URY/969_del4/2020	2020-10-01		B.1.1.33	MZ312096	1.00	20B	Older	0.04	202040	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al I				
URY/1023_del4/2020	2020-10-06		B.1.1.33	MZ312086	1.00	20B	Older	0.04	202041	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al J				
URY/1104_del4/2020	2020-10-16		B.1.1.33	MZ312087	1.00	20B	Older	0.04	202042	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al K				
URY/1087_del4/2020	2020-10-14		B.1.1.33	MZ312091	1.00	20B	Older	0.04	202042	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al L				
BRA/SPPU-1366/2020	2020-05-06		B.1.1.33	MW495007	1.00	20B	Older	0.02	202019	South America		Homo sapiens	Brazil	Brazil		Goes et al A				
BRA/MT21770/2020	2020-08-23		B.1.1.33	MW962308	2.00	20B	Older	0.07	202035	South America		Homo sapiens	Brazil	Mato Grosso		Ferreira et al A				
URY/M285/2020	2020-07-14		N.7	MW298639	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al M				
URY/M288/2020	2020-07-14		N.7	MW298642	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al N				
URY/M287/2020	2020-07-14		N.7	MW298641	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al O				
URY/M292/2020	2020-07-14		N.7	MW298640	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al P				
URY/M297/2020	2020-07-14		N.7	MW298638	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al Q				
URY/M296/2020	2020-07-14		N.7	MW298643	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al R				
URY/M284/2020	2020-07-14		N.7	MW298637	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al S				
URY/299_N.7_del12/2020	2020-07-16		N.7	OK416091	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al T				
URY/300_N.7_del12/2020	2020-07-16		N.7	OK416092	1.00	20B	Older	0.04	202029	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al U				
URY/649_N.7_del12/2020	2020-08-19		N.7	OK416093	1.00	20B	Older	0.04	202034	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al V				
URY/731_N.7_del12/2020	2020-09-01		N.7	OK416094	1.00	20B	Older	0.04	202036	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al W				
URY/839/2020	2020-09-16		N.7	MZ555813	1.00	20B	Older	0.10	202038	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al X				
URY/879/2020	2020-09-18		N.7	MZ555814	1.00	20B	Older	0.10	202038	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al Y				
URY/899/2020	2020-09-22		N.7	MZ555811	1.00	20B	Older	0.10	202039	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al Z				
URY/917/2020	2020-09-22		N.7	MZ555812	1.00	20B	Older	0.10	202039	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AA				
URY/1021_N.7_del12/2020	2020-10-05		N.7	OK416098	1.00	20B	Older	0.04	202041	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AB				
URY/1102_N7_del12/2020	2020-10-16		N.7	OK416099	1.00	20B	Older	0.04	202042	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AC				
URY/799_N.7_del12/2020	2020-09-09		N.7	OK416095	1.00	20B	Older	0.04	202037	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AD				
URY/822_N.7_del12/2020	2020-09-14		N.7	OK416096	1.00	20B	Older	0.04	202038	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AE				
URY/840_N.7_del12/2020	2020-09-16		N.7	OK416097	1.00	20B	Older	0.04	202038	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AF				
BRA/SPPU-007/2020	2020-03-16		B.1.1.33	MW495005	1.00	20B	Older	0.03	202012	South America		Homo sapiens	Brazil	Brazil		Goes et al B				
PRY/WOR12903A643_202103289_2-4710604/2020	2020-06-19		B.1.1.33	ON017218	1.00	20B	Older	0.02	202025	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al I				
BRA/PR-HF443/2020	2020-06-04		B.1.1.33	MZ477859	1.00	20B	Older	0.03	202023	South America		Homo sapiens	Brazil	Paraná		Oliveira et al A				
PRY/WOR12903A628_202103288_2-4710539/2020	2020-06-05		B.1.1.33	ON017203	1.00	20B	Older	0.02	202023	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al J				
Homosapines/BRA/hCoV_19_Brazil_RJ_FIOCRUZ_LABMOF_69/2020	2020-12-09		N.9	MZ191508	3.00	20B	Older	0.14	202050	South America		Homo sapiens	Brazil	Brazil		Tort et al				
PRY/WOR12903A639_202103297_2-4710550/2020	2020-08-13		B.1.1.33	ON017227	1.00	20B	Older	0.02	202033	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al K				
PRY/WOR12903A620_202103300_2-4710531/2020	2020-08-19		B.1.1.33	ON017172	1.00	20B	Older	0.02	202034	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al L				
CHL/Santiago-PUC_MVL_0491/2020	2020-05-13		N.4	MW365473	1.00	20B	Older	0.03	202020	South America		Homo sapiens	Chile	Chile		Direct Submission et al AL				
CHL/Santiago-LRC4163/2020	2020-05-12		N.4	MW365236	1.00	20B	Older	0.04	202020	South America		Homo sapiens	Chile	Chile		Direct Submission et al AM				
CHL/Santiago-5132608/2020	2020-06-08		N.4	MW672173	1.00	20B	Older	0.04	202024	South America		Homo sapiens	Chile	Chile		Barriga et al D				
CHL/Santiago-BMA5485/2020	2020-05-04		N.4	MW365260	1.00	20B	Older	0.03	202019	South America		Homo sapiens	Chile	Chile		Direct Submission et al AN				
CHL/Santiago-5110626/2020	2020-06-08		N.4	MW672157	1.00	20B	Older	0.03	202024	South America		Homo sapiens	Chile	Chile		Barriga et al E				
CHL/Santiago-5120625/2020	2020-06-08		N.4	MW672148	1.00	20B	Older	0.03	202024	South America		Homo sapiens	Chile	Chile		Barriga et al F				
CHL/Santiago-5110605/2020	2020-06-08		N.4	MW672153	1.00	20B	Older	0.03	202024	South America		Homo sapiens	Chile	Chile		Barriga et al G				
CHL/Santiago-5120609/2020	2020-06-08		N.4	MW672149	1.00	20B	Older	0.03	202024	South America		Homo sapiens	Chile	Chile		Barriga et al H				
BRA/LRV-SARS.CoV-2.1/2020	2020-05-08		B.1.1.33	MT807936	1.00	20B	Older	0.03	202019	South America		Homo sapiens	Brazil	Brazil		Suzukawa et al				
CHL/Santiago-5120617/2020	2020-06-08		B.1.1.33	MW672140	1.00	20B	Older	0.03	202024	South America		Homo sapiens	Chile	Chile		Barriga et al I				
ARG/Cordoba-2858/2020	2020-09-14		N.3	MW633904	2.00	20B	Older	0.02	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al F				
ARG/Cordoba-15977/2020	2020-09-14		N.3	MW633897	1.00	20B	Older	0.05	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al G				
ARG/Cordoba-84101/2020	2020-09-16		N.3	MW633893	1.00	20B	Older	0.02	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al H				
ARG/Cordoba-3719/2020	2020-09-19		N.3	MW633896	1.00	20B	Older	0.04	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al I				
ARG/Cordoba-973/2020	2020-09-15		N.3	MW633905	1.00	20B	Older	0.02	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al J				
ARG/Cordoba-16161/2020	2020-09-14		N.3	MW633892	1.00	20B	Older	0.02	202038	South America		Homo sapiens	Argentina	Argentina		Castro et al K				
ARG/Cordoba-2489/2020	2020-09-20		N.3	MW633906	1.00	20B	Older	0.02	202039	South America		Homo sapiens	Argentina	Argentina		Castro et al L				
BRA/684/2020	2020-12-17		B.1.1	MZ397161	3.00	20B	Older	0.18	202051	South America		Homo sapiens	Brazil	Brazil		Pylro et al A				
PRY/202102787_631496/2021	2021-01-31		B.1.1	ON017384	3.00	20B	Older	0.03	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al M				
PRY/202102818_631790/2021	2021-01-31		B.1.1	ON017413	1.00	20B	Older	0.04	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al N				
PRY/202102793_631550/2021	2021-01-31		B.1.1	ON017390	2.00	20B	Older	0.08	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al O				
PRY/202102791_631528/2021	2021-01-31		B.1.1	ON017388	2.00	20B	Older	0.08	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al P				
BRA/SPPU-2019/2020	2020-06-03		B.1.1	MW495011	1.00	20B	Older	0.08	202023	South America		Homo sapiens	Brazil	Brazil		Goes et al C				
BRA/SPPU-791/2020	2020-04-24		B.1.1	MW495018	1.00	20B	Older	0.04	202017	South America		Homo sapiens	Brazil	Brazil		Goes et al D				
BRA/1504_SPPU/2020	2020-05-11		B.1.1	MW435552	1.00	20B	Older	0.06	202020	South America		Homo sapiens	Brazil	Brazil		Goes et al E				
BRA/SPPU-2119/2020	2020-06-09		B.1.1	MW495012	1.00	20B	Older	0.07	202024	South America		Homo sapiens	Brazil	Brazil		Goes et al F				
BRA/SPPU-1717/2020	2020-05-25		B.1.1	MW495009	1.00	20B	Older	0.05	202022	South America		Homo sapiens	Brazil	Brazil		Goes et al G				
BRA/SPPU-1718/2020	2020-05-25		B.1.1	MW495010	1.00	20B	Older	0.04	202022	South America		Homo sapiens	Brazil	Brazil		Goes et al H				
BRA/SPPU-1504-P4/2020	2020-05-12		B.1.1	MW441769	2.00	20B	Older	0.06	202020	South America		Homo sapiens	Brazil	Brazil		Goes et al I				
BRA/691_SPPU/2020	2020-04-21		B.1.1	MW435551	1.00	20B	Older	0.04	202017	South America		Homo sapiens	Brazil	Brazil		Goes et al J				
BRA/SPPU-2375/2020	2020-06-23		B.1.1	MW495013	1.00	20B	Older	0.01	202026	South America		Homo sapiens	Brazil	Brazil		Goes et al K				
PRY/WOR12903A627_202103280_2-4710538/2020	2020-05-07		B.1.1	ON017229	1.00	20B	Older	0.10	202019	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al Q				
PRY/WOR12903A615_202103284_2-4710526/2020	2020-05-27		B.1.1	ON017231	1.00	20B	Older	0.10	202022	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al R				
BRA/GO-DNAGYN-244/2021	2021-01-22		P.7	ON148327	1.00	20B	Older	0.20	202103	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al A				
BRA/GO-DNAGYN-245/2021	2021-01-22		P.7	ON148328	1.00	20B	Older	0.21	202103	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al B				
BRA/SPPU-1460/2020	2020-05-11		B.1.1	MW495008	2.00	20B	Older	0.07	202020	South America		Homo sapiens	Brazil	Brazil		Goes et al L				
BRA/HIAE-SP04/2020	2020-03-20		B.1.1.28	MT738173	1.00	20B	Older	0.07	202012	South America		Homo sapiens	Brazil	Brazil		Malta et al B				
PRY/WOR12903A660_202103282_2-4710621/2020	2020-05-22		B.1.1	ON017192	1.00	20B	Older	0.07	202021	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al S				
ARG/210316-1/2021	2021-03-15		P.3	OL989073	5.00	21E (Theta)	Older	0.29	202111	South America		Homo sapiens	Argentina	Argentina		Zhao et al D				
PRY/WOR12903A599_202103295_2-4710510/2020	2020-08-08		B.1.1	ON017207	1.00	20B	Older	0.06	202032	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al T				
PRY/WOR12903A654_202103293_2-4710615/2020	2020-07-30		B.1.1	ON017181	1.00	20B	Older	0.06	202031	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al U				
PRY/202102819_631808/2021	2021-01-31		B.1.1	ON017414	2.00	20B	Older	0.10	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al V				
PRY/202102810_631708/2021	2021-01-31		B.1.1	ON017405	1.00	20B	Older	0.10	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al W				
PRY/202102776_631400/2021	2021-01-30		B.1.1	ON017374	2.00	20B	Older	0.09	202104	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al X				
PRY/WOR12903A667_202103294_2-4710628/2020	2020-08-03		B.1.1	ON017176	1.00	20B	Older	0.06	202032	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al Y				
PRY/202102831_631990/2021	2021-01-31		B.1.1	ON017423	2.00	20B	Older	0.11	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al Z				
PRY/WOR12903A625_202103296_2-4710536/2020	2020-08-12		B.1.1	ON017217	3.00	20B	Older	0.12	202033	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AA				
PRY/WOR12903A652_202103277_2-4710613/2020	2020-04-29		B.1.1	ON017228	1.00	20B	Older	0.07	202018	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AB				
PRY/WOR12903A668_202103302_2-4710629/2020	2020-12-30		B.1.1	ON017220	1.00	20B	Older	0.06	202053	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AC				
PRY/202102833_632010/2021	2021-01-31		B.1.1	ON017425	1.00	20B	Older	0.06	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AD				
USA/VT-CDCBI-CRSP_01401/2021	2021-03-11		B.1.1	MW835141	2.00	20B	Older	0.09	202110	North America		Homo sapiens	USA	Vermont		Lemieux et al K		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
BRA/MASP2C844R2/2020	2020-11-21		B.1.1.28	MW592707	1.00	20B	Older	0.07	202047	South America		Homo sapiens	Brazil	Brazil		Sacchi et al A				
BRA/GO-DNAGYN-195/2021	2021-01-05		B.1.1	ON148304	2.00	20B	Older	0.15	202101	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al C				
PRY/202102809_631699/2021	2021-01-31		P.2	ON017404	2.00	20B	Older	0.18	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AE				
BRA/GO-DNAGYN-240/2020	2020-12-17		P.2	ON148326	2.00	20B	Older	0.18	202051	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al D				
BRA/GO-DNAGYN-186/2020	2020-12-29		P.2	ON148303	2.00	20B	Older	0.19	202053	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al E				
BRA/1462/2021	2021-02-26		P.2	MZ169916	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Brazil	Brazil		Pylro et al B				
BRA/1441/2021	2021-02-26		P.2	MZ169913	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Brazil	Brazil		Pylro et al C				
BRA/1447/2021	2021-02-26		P.2	MZ169914	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Brazil	Brazil		Pylro et al D				
BRA/1460/2021	2021-02-26		P.2	MZ169915	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Brazil	Brazil		Pylro et al E				
BRA/1431/2021	2021-02-26		P.2	MZ169912	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Brazil	Brazil		Pylro et al F				
BRA/GO-DNAGYN-236/2020	2020-12-14		P.2	ON148325	2.00	20B	Older	0.17	202051	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al F				
BRA/GO-DNAGYN-211/2021	2021-01-22		P.2	ON148305	2.00	20B	Older	0.17	202103	South America		Homo sapiens	Brazil	Goiás		Sobreiro et al G				
PRY/202102860_29964/2021	2021-02-22		P.2	ON017446	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AF				
PER/ANC-INS-1132/2021	2021-03-25		P.2	MZ833438	2.00	20B	Older	0.18	202112	South America		Homo sapiens	Peru	Peru		Padilla et al				
PRY/202102772_631345/2021	2021-01-30		P.2	ON017371	2.00	20B	Older	0.18	202104	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AG				
PRY/202102873_31558/2021	2021-02-23		P.2	ON017457	2.00	20B	Older	0.20	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AH				
PRY/202102844_29845/2021	2021-02-19		P.2	ON017434	2.00	20B	Older	0.18	202107	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AI				
PRY/WOR12903A598_202103303_2-4710509/2021	2021-04-30		P.2	ON017232	3.00	20B	Older	0.18	202117	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AJ				
PRY/202102846_29867/2021	2021-02-19		P.2	ON017436	2.00	20B	Older	0.18	202107	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AK				
PRY/202102865_29986/2021	2021-02-22		P.2	ON017451	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AL				
PRY/202102896_57351/2021	2021-03-15		P.2	ON017470	2.00	20B	Older	0.21	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AM				
PRY/202102861_29969/2021	2021-02-22		P.2	ON017447	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AN				
PRY/202102879_35664/2021	2021-02-25		P.2	ON017459	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AO				
URY/380/2021	2021-03-11		P.2	MW988205	2.00	20B	Older	0.18	202110	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al AG				
PRY/202102841_29703/2021	2021-02-22		P.2	ON017431	2.00	20B	Older	0.17	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AP				
PRY/202102907_58594/2021	2021-03-17		P.2	ON017478	3.00	20B	Older	0.21	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AQ				
PRY/202102859_29963/2021	2021-02-22		P.2	ON017445	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AR				
PRY/202102868_30519/2021	2021-02-23		P.2	ON017454	2.00	20B	Older	0.19	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AS				
PRY/202102807_631688/2021	2021-01-31		P.2	ON017402	3.00	20B	Older	0.20	202105	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AT				
PRY/202102882_36174/2021	2021-02-27		P.2	ON017461	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AU				
PRY/202102839_29385/2021	2021-02-22		P.2	ON017430	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AV				
PRY/202102866_29987/2021	2021-02-22		P.2	ON017452	2.00	20B	Older	0.18	202108	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AW				
BRA/PR-HF128/2021	2021-03-02		P.2	MZ477765	2.00	20B	Older	0.18	202109	South America		Homo sapiens	Brazil	Paraná		Oliveira et al B				
BRA/PR-HF144/2021	2021-03-06		P.2	MZ477776	2.00	20B	Older	0.18	202109	South America		Homo sapiens	Brazil	Paraná		Oliveira et al C				
PRY/202102918_60178/2021	2021-03-19		P.2	ON017483	2.00	20B	Older	0.18	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AX				
BRA/PR-HF302/2021	2021-04-09		P.2	MZ477802	2.00	20B	Older	0.20	202114	South America		Homo sapiens	Brazil	Paraná		Oliveira et al D				
PRY/202102919_60181/2021	2021-03-19		P.2	ON017484	2.00	20B	Older	0.19	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al AY				
PER/covper051/2020	2020-04-01		B.1	MW030195	2.00	20B	Older	0.03	202014	South America		Homo sapiens	Peru	Peru		Juscamayta et al V				
Switzerland/FR-ETHZ-180015/2020	2020-06-29		C.35	OE997246	1.00	20B	Older	0.03	202027	Europe		Homo sapiens	Switzerland	Fribourg		? AD		Computational evolution group,Mattenstrasse 26, Basel	ETH ZURICH D-BSSE	
EGY/CCHE57357_W3_A139/2021	2021-06-03		C.38	OK001930	1.00	20B	Older	0.19	202122	Africa		Homo sapiens	Egypt	Egypt		Hatem et al J				
PAK/SARS-CoV-2_135/2020	2020-03-16		B.1.1.1	MW422116	1.00	20D	Older	0.05	202012	Asia		Homo sapiens	Pakistan	Khyber Pakhtunkhwa		Badar et al C				
PER/covper047/2020	2020-05-06		C.13	MW030278	1.00	20D	Older	0.04	202019	South America		Homo sapiens	Peru	Peru		Juscamayta et al W				
PER/covper011/2020	2020-07-04		C.13	MW030242	1.00	20D	Older	0.12	202027	South America		Homo sapiens	Peru	Peru		Juscamayta et al X				
PER/covper049/2020	2020-04-01		C.14	MW030193	1.00	20D	Older	0.04	202014	South America		Homo sapiens	Peru	Peru		Juscamayta et al Y				
